"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:40:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
