"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:11:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:21:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:21:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:21:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:22:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:22:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:22:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:23:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:23:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:23:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:24:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:24:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:24:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:25:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:25:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:25:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:26:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:26:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:26:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:27:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:27:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:27:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:28:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:28:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:28:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:29:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:29:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:29:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:30:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:30:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:30:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:31:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:31:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:31:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:32:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:32:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:32:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:33:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
