"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:38:03 AM","10:50 1st",NA,NA,"211.5","1.52","2.45","4","NBA"
"09:38:22 AM","10:47 1st",NA,NA,"209.5","1.52","2.45","4","NBA"
"09:38:48 AM","10:31 1st",NA,NA,"209.5","1.52","2.45","4","NBA"
"09:39:22 AM","10:19 1st","Q1","8","218.5","1.44","2.7","5","NBA"
"09:39:35 AM","10:08 1st","Q1","8","218.5","1.44","2.7","5","NBA"
"09:39:48 AM","9:29 1st","Q1","8","219.5","1.46","2.6","5","NBA"
"09:40:05 AM","9:29 1st","Q1","8","219.5","1.46","2.6","5","NBA"
"09:40:20 AM","9:21 1st","Q1","18","219.5","1.46","2.6","5","NBA"
"09:40:42 AM","8:55 1st","Q1","18","219.5","1.46","2.6","5","NBA"
"09:41:09 AM","8:55 1st","Q1","18","214.5","1.52","2.45","4","NBA"
"09:41:32 AM","8:23 1st","Q1","18","214.5","1.52","2.45","4","NBA"
"09:41:50 AM","8:17 1st","Q1","18","212.5","1.52","2.45","4","NBA"
"09:42:13 AM","8:17 1st","Q1","20","212.5","1.52","2.45","4","NBA"
"09:42:37 AM","8:05 1st","Q1","20","213.5","1.52","2.45","4","NBA"
"09:42:56 AM","7:45 1st","Q1","20","213.5","1.52","2.45","4","NBA"
"09:43:18 AM","7:45 1st","Q1","20","211.5","1.62","2.25","3","NBA"
"09:43:38 AM","7:24 1st","Q1","25","211.5","1.62","2.25","3","NBA"
"09:44:00 AM","7:13 1st","Q1","25","213.5","1.62","2.25","3","NBA"
"09:44:17 AM","7:13 1st","Q1","25","213.5","1.62","2.25","3","NBA"
"09:44:36 AM","7:13 1st","Q1","25","215.5","1.62","2.25","3","NBA"
"09:44:57 AM","9:21 1st","Q1","30","215.5","1.62","2.25","3","NBA"
"09:45:19 AM","6:47 1st","Q1","30","212.5","1.62","2.25","3","NBA"
"09:45:40 AM","6:26 1st","Q1","30","212.5","1.62","2.25","3","NBA"
"09:46:00 AM","6:26 1st","Q1","30","213.5","1.6","2.25","3","NBA"
"09:46:25 AM","6:14 1st","Q1","31","213.5","1.6","2.25","3","NBA"
"09:46:36 AM","6:14 1st","Q1","31","213.5","1.62","2.25","3","NBA"
"09:47:01 AM","6:22 1st","Q1","31","213.5","1.62","2.25","3","NBA"
"09:47:12 AM","6:14 1st","Q1","31","211.5","1.6","2.25","3","NBA"
"09:47:32 AM","5:52 1st","Q1","31","211.5","1.6","2.25","3","NBA"
"09:47:52 AM","5:35 1st","Q1","31","211.5","1.66","2.15","2","NBA"
"09:48:14 AM","5:16 1st","Q1","31","211.5","1.66","2.15","2","NBA"
"09:48:31 AM","5:16 1st","Q1","31","211.5","1.66","2.15","3","NBA"
"09:48:48 AM","4:37 1st","Q1","36","211.5","1.66","2.15","3","NBA"
"09:49:04 AM","4:18 1st","Q1","36","207.5","1.66","2.15","2","NBA"
"09:49:37 AM","4:52 1st","Q1","36","207.5","1.66","2.15","2","NBA"
"09:49:54 AM","4:18 1st","Q1","36","210.5","1.6","2.25","3","NBA"
"09:50:14 AM","3:47 1st","Q1","36","210.5","1.6","2.25","3","NBA"
"09:50:26 AM","3:47 1st","Q1","38","210.5","1.6","2.25","3","NBA"
"09:50:58 AM","3:47 1st","Q1","38","210.5","1.6","2.25","3","NBA"
"09:51:10 AM","3:47 1st","Q1","38","210.5","1.6","2.25","3","NBA"
"09:51:31 AM","3:47 1st","Q1","38","210.5","1.6","2.25","3","NBA"
"09:51:50 AM","3:47 1st","Q1","38","210.5","1.6","2.25","3","NBA"
"09:52:09 AM","3:47 1st","Q1","38","210.5","1.6","2.25","3","NBA"
"09:52:32 AM","3:32 1st","Q1","40","210.5","1.66","2.15","2","NBA"
"09:52:58 AM","3:32 1st","Q1","40","210.5","1.66","2.15","2","NBA"
"09:53:07 AM","3:32 1st","Q1","40","210.5","1.76","2","1","NBA"
"09:53:28 AM","2:53 1st","Q1","40","210.5","1.76","2","1","NBA"
"09:53:50 AM","2:53 1st","Q1","40","208.5","1.76","2","2","NBA"
