"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"03:30:52 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:31:11 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:31:32 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:31:52 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:32:12 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:32:45 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:32:59 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:33:28 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:33:40 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:33:51 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:34:19 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:34:31 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:34:51 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:35:15 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:35:38 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:35:52 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:36:18 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:36:35 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:37:05 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:37:14 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:37:38 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:37:51 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:38:27 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:38:31 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:38:58 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:39:19 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:39:37 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:39:58 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:40:21 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:40:32 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:41:01 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:41:21 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:41:48 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:41:53 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:42:24 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:42:42 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:42:51 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:43:22 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:43:31 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:43:57 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:44:10 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:44:40 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:44:52 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:45:18 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:45:32 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:45:52 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:46:11 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:46:35 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:47:00 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:47:11 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:47:30 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:47:51 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"03:48:17 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:48:31 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:48:59 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:49:15 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:49:35 AM","Mar 17-3:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"03:49:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:50:18 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:50:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:50:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:51:14 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:51:38 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:51:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:52:18 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:52:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:52:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:53:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:53:37 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:53:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:54:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:54:42 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:54:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:55:24 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:55:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:55:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:56:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:56:40 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:56:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:57:24 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:57:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:58:00 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:58:10 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:58:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:58:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:59:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:59:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"03:59:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:00:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:00:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:13:14 AM","1st 20:00",NA,NA,"155.5","41","1.002","26.5","NCAA"
"04:13:40 AM","1st 20:00",NA,NA,"155.5","41","1.002","26.5","NCAA"
"04:13:53 AM","1st 20:00",NA,NA,"154.5","67","1.86","27.5","NCAA"
"04:14:18 AM","1st 19:50","First Half","2","154.5","67","1.86","27.5","NCAA"
"04:14:37 AM","1st 19:50","First Half","2","155","81","1.9","27.5","NCAA"
"04:14:57 AM","1st 19:50","First Half","2","155","81","1.9","27.5","NCAA"
"04:15:13 AM","1st 19:50","First Half","2","155","81","1.91","26.5","NCAA"
"04:15:38 AM","1st 19:50","First Half","2","155","81","1.91","26.5","NCAA"
"04:15:58 AM","1st 18:27","First Half","6","155.5","67","1.89","25.5","NCAA"
"04:16:19 AM","1st 18:20","First Half","6","155.5","67","1.89","25.5","NCAA"
"04:16:31 AM","1st 18:20","First Half","6","156.5","41","1.002","23.5","NCAA"
"04:16:57 AM","1st 17:28","First Half","15","156.5","41","1.002","23.5","NCAA"
"04:17:11 AM","1st 17:28","First Half","15","162.5","41","1.002","23.5","NCAA"
"04:17:32 AM","1st 16:48","First Half","15","162.5","41","1.002","23.5","NCAA"
"04:17:59 AM","1st 16:35","First Half","15","162","21","1.005","24.5","NCAA"
"04:18:10 AM","1st 16:35","First Half","15","162","21","1.005","24.5","NCAA"
"04:18:38 AM","1st 15:48","First Half","22","162.5","51","1.002","25.5","NCAA"
"04:18:59 AM","1st 15:48","First Half","22","162.5","51","1.002","25.5","NCAA"
"04:19:10 AM","1st 15:48","First Half","22","162.5","51","1.002","25.5","NCAA"
