"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"04:10:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:10:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:11:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:11:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:11:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:12:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:12:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:12:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:13:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:13:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:13:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:14:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:14:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:14:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:15:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:15:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:15:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:16:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:16:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:16:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:17:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:17:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:17:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:18:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:18:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:18:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:19:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:19:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:19:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:20:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:20:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:20:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:21:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:21:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:21:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:22:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:22:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:22:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:23:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:23:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:23:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:24:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:24:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:24:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:25:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:25:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:25:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:26:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:26:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:26:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:27:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:27:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:27:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:28:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:28:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:28:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:29:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:29:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:29:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:30:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:30:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:30:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:31:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
