"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"10:11:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:11:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:11:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:12:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:12:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:12:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:13:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:13:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:13:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:14:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:14:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:14:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:15:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:15:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:15:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:16:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:16:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:16:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:17:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:17:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:17:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:18:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:18:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:18:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:19:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:19:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:19:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:20:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:20:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:20:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:21:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:21:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:21:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:22:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:22:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:22:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:23:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:23:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:23:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:24:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:24:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:24:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:25:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:25:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:25:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:26:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:26:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:26:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:27:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:27:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:27:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:28:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:28:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:28:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:29:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:29:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:29:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:30:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:30:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:30:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:31:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:31:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:31:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
