"Entry","Time"
"Apply stake to all singles","14:32:58"
"$","14:32:58"
"0-1 0-0 *0-0","14:32:58"
"M Minella v J Cepelova","14:32:58"
"Markets (24)","14:32:58"
"M Minella 6.75","14:32:58"
"M Minella","14:32:58"
"6.75","14:32:58"
"J Cepelova 1.06","14:32:58"
"J Cepelova","14:32:58"
"1.06","14:32:58"
"Betting temporarily suspended - Markets are being updated","14:32:58"
"0-0 0-1 *30-15","14:32:58"
"Y Lee v S Rogers","14:32:58"
"Markets (24)","14:32:58"
"Y Lee 5.80","14:32:58"
"Y Lee","14:32:58"
"5.80","14:32:58"
"S Rogers 1.09","14:32:58"
"S Rogers","14:32:58"
