"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"05:15:18 AM","1st 19:54",NA,NA,"159.5","2.09","1.69","2","NCAA"
"05:15:38 AM","1st 19:10","First Half","0","159.5","2.09","1.69","2","NCAA"
"05:16:03 AM","1st 19:10","First Half","0","158.5","2.15","1.65","2.5","NCAA"
"05:16:18 AM","1st 18:47","First Half","0","158.5","2.15","1.65","2.5","NCAA"
"05:16:39 AM","1st 18:47","First Half","4","160.5","2.32","1.56","3","NCAA"
"05:17:00 AM","1st 18:47","First Half","4","160.5","2.32","1.56","3","NCAA"
"05:17:27 AM","1st 18:47","First Half","4","160.5","2.49","1.49","4.5","NCAA"
"05:17:40 AM","1st 18:42","First Half","4","160.5","2.49","1.49","4.5","NCAA"
"05:17:58 AM","1st 18:42","First Half","4","160.5","2.33","1.56","3.5","NCAA"
"05:18:20 AM","1st 18:33","First Half","4","160.5","2.33","1.56","3.5","NCAA"
"05:18:38 AM","1st 18:33","First Half","4","162.5","2","1.75","2","NCAA"
"05:18:59 AM","1st 17:38","First Half","4","162.5","2","1.75","2","NCAA"
"05:19:20 AM","1st 17:38","First Half","10","163.5","2.04","1.72","1.5","NCAA"
"05:19:38 AM","1st 17:15","First Half","10","163.5","2.04","1.72","1.5","NCAA"
"05:19:59 AM","1st 17:15","First Half","10","164.5","2.28","1.58","4","NCAA"
"05:20:23 AM","1st 17:07","First Half","10","164.5","2.28","1.58","4","NCAA"
"05:20:43 AM","1st 17:07","First Half","14","164.5","2.23","1.61","3","NCAA"
"05:21:00 AM","1st 16:52","First Half","14","164.5","2.23","1.61","3","NCAA"
"05:21:19 AM","1st 16:52","First Half","14","164.5","2.4","1.53","3.5","NCAA"
"05:21:35 AM","1st 16:43","First Half","14","164.5","2.4","1.53","3.5","NCAA"
"05:22:00 AM","1st 16:43","First Half","14","164.5","2.37","1.54","3.5","NCAA"
"05:22:17 AM","1st 16:18","First Half","14","164.5","2.37","1.54","3.5","NCAA"
"05:22:37 AM","1st 16:18","First Half","14","164.5","2.23","1.61","3","NCAA"
"05:22:57 AM","1st 15:49","First Half","14","164.5","2.23","1.61","3","NCAA"
"05:23:23 AM","1st 15:49","First Half","18","163.5","2.33","1.56","3.5","NCAA"
"05:23:39 AM","1st 15:44","First Half","18","163.5","2.33","1.56","3.5","NCAA"
"05:23:57 AM","1st 15:44","First Half","18","163.5","2.33","1.56","3.5","NCAA"
"05:24:19 AM","1st 15:44","First Half","18","163.5","2.33","1.56","3.5","NCAA"
"05:24:37 AM","1st 15:44","First Half","18","163.5","2.33","1.56","3.5","NCAA"
"05:24:58 AM","1st 15:44","First Half","18","163.5","2.33","1.56","3.5","NCAA"
"05:25:17 AM","1st 15:44","First Half","18","163.5","2.33","1.56","3.5","NCAA"
"05:25:36 AM","1st 15:44","First Half","18","163.5","2.33","1.56","3.5","NCAA"
"05:26:00 AM","1st 15:44","First Half","18","163.5","2.33","1.56","3.5","NCAA"
"05:26:21 AM","1st 15:40","First Half","18","163.5","2.37","1.54","3.5","NCAA"
"05:26:37 AM","1st 15:40","First Half","18","163.5","2.37","1.54","3.5","NCAA"
"05:26:57 AM","1st 15:12","First Half","18","163.5","2.37","1.54","3.5","NCAA"
"05:27:15 AM","1st 15:12","First Half","18","163.5","2.37","1.54","3.5","NCAA"
"05:27:38 AM","1st 15:03","First Half","18","161.5","2.23","1.61","3","NCAA"
"05:27:57 AM","1st 15:03","First Half","18","161.5","2.23","1.61","3","NCAA"
"05:28:19 AM","1st 14:45","First Half","18","164.5","2.2","1.62","2","NCAA"
"05:28:37 AM","1st 14:45","First Half","18","164.5","2.2","1.62","2","NCAA"
"05:28:57 AM","1st 14:36","First Half","18","161.5","2.21","1.61","2.5","NCAA"
"05:29:19 AM","1st 14:36","First Half","22","161.5","2.21","1.61","2.5","NCAA"
"05:29:40 AM","1st 14:10","First Half","22","161.5","1.95","1.78","0.5","NCAA"
"05:29:57 AM","1st 14:10","First Half","22","161.5","1.95","1.78","0.5","NCAA"
"05:30:19 AM","1st 13:35","First Half","27","163.5","2.47","1.5","3.5","NCAA"
"05:30:39 AM","1st 13:35","First Half","27","163.5","2.47","1.5","3.5","NCAA"
