"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:41:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
