"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:41:00 AM","Spurs",NA,NA,NA,NA,NA,NA,"NBA"
"09:41:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
