"Entry","Time"
"Apply stake to all singles","13:53:00"
"$","13:53:00"
"-286 9-280","13:53:00"
"New Zealand v Australia","13:53:00"
"Markets (6)","13:53:00"
"Betting temporarily suspended - Markets are being updated","13:53:00"
"Upcoming17:05","13:53:00"
"M Minella v J Cepelova","13:53:00"
"Markets (30)","13:53:00"
"M Minella 2.49","13:53:00"
"M Minella","13:53:00"
"2.49","13:53:00"
"J Cepelova 1.49","13:53:00"
"J Cepelova","13:53:00"
"1.49","13:53:00"
"Betting temporarily suspended - Markets are being updated","13:53:00"
"Upcoming17:05","13:53:00"
"Y Lee v S Rogers","13:53:00"
"Markets (29)","13:53:00"
"Y Lee 5.90","13:53:00"
