"Entry","Time"
"Apply stake to all singles","13:52:56"
"$","13:52:56"
"-286 9-280","13:52:56"
"New Zealand v Australia","13:52:56"
"Markets (6)","13:52:56"
"Betting temporarily suspended - Markets are being updated","13:52:56"
"Upcoming17:05","13:52:56"
"M Minella v J Cepelova","13:52:56"
"Markets (30)","13:52:56"
"M Minella 2.49","13:52:56"
"M Minella","13:52:56"
"2.49","13:52:56"
"J Cepelova 1.49","13:52:56"
"J Cepelova","13:52:56"
"1.49","13:52:56"
"Betting temporarily suspended - Markets are being updated","13:52:56"
"Upcoming17:05","13:52:56"
"Y Lee v S Rogers","13:52:56"
"Markets (29)","13:52:56"
"Y Lee 5.90","13:52:56"
