"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:40:50 AM","Pistons",NA,NA,NA,NA,NA,NA,"NBA"
"08:41:09 AM","Pistons",NA,NA,NA,NA,NA,NA,"NBA"
"08:41:29 AM","Pistons",NA,NA,NA,NA,NA,NA,"NBA"
"08:41:48 AM","Pistons",NA,NA,NA,NA,NA,NA,"NBA"
"08:42:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:29 AM","11:36 1st",NA,NA,"230.5","1.56","2.35","4","NBA"
"09:11:51 AM","11:36 1st",NA,NA,"230.5","1.56","2.35","4","NBA"
"09:12:34 AM","11:09 1st",NA,NA,"230.5","1.56","2.35","4","NBA"
"09:12:39 AM","11:09 1st",NA,NA,"230.5","1.5","2.5","4","NBA"
"09:12:55 AM","10:37 1st",NA,NA,"230.5","1.5","2.5","4","NBA"
"09:13:11 AM","10:27 1st",NA,NA,"225.5","1.6","2.25","3","NBA"
"09:13:31 AM","10:27 1st",NA,NA,"225.5","1.6","2.25","3","NBA"
"09:13:49 AM","10:27 1st",NA,NA,"227.5","1.66","2.15","2","NBA"
"09:14:11 AM","10:24 1st",NA,NA,"227.5","1.66","2.15","2","NBA"
"09:14:30 AM","9:49 1st","Q1","7","226.5","1.62","2.25","3","NBA"
"09:14:49 AM","9:27 1st","Q1","7","226.5","1.62","2.25","3","NBA"
"09:15:09 AM","9:27 1st","Q1","7","224.5","1.56","2.35","3","NBA"
"09:15:29 AM","9:27 1st","Q1","7","224.5","1.56","2.35","3","NBA"
"09:15:51 AM","9:27 1st","Q1","9","227.5","1.6","2.25","3","NBA"
"09:16:17 AM","9:27 1st","Q1","9","227.5","1.6","2.25","3","NBA"
"09:16:31 AM","8:51 1st","Q1","9","227.5","1.56","2.35","3","NBA"
"09:16:53 AM","8:38 1st","Q1","9","227.5","1.56","2.35","3","NBA"
"09:17:17 AM","8:38 1st","Q1","9","225.5","1.56","2.35","3","NBA"
"09:17:31 AM","8:02 1st","Q1","13","225.5","1.56","2.35","3","NBA"
"09:17:52 AM","7:33 1st","Q1","13","225.5","1.5","2.5","4","NBA"
"09:18:12 AM","7:25 1st","Q1","13","225.5","1.5","2.5","4","NBA"
