"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:40:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:40:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
