"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:10:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:27:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:27:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:33:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:33:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:33:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:34:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:34:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:34:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:35:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:35:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:35:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:36:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:36:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:36:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:37:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:37:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:37:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:38:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
