"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:10:44",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:49",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:56",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:01",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:07",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:12",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:20",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:26",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:31",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:37",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:43",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:50",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:59",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:07",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:17",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:26",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:34",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:42",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:52",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:04",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:14",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:30",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:41",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:47",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:01",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:11",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:24",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:31",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:48",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:59",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:08",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:19",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:31",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:41",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:52",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:05",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:16",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:30",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:42",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:53",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:04",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:16",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:29",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:41",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:56",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:07",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:17",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:28",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:37",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:50",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:01",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:15",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:27",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:37",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:54",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:06",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:26",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:37",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:53",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:04",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:15",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:28",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:38",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:46",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:57",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:10",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:20",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:33",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:47",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:57",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:05",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:14",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:25",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:36",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:49",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:59",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:08",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:15",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:24",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:35",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:44",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:52",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:03",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:13",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:21",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:30",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:41",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:52",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:05",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:15",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:23",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:32",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:40",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:49",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:00",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:08",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:18",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:27",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:47",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:55",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:06",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:16",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:27",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:36",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:50",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:00",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:10",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:24",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:34",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:48",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:58",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:09",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:21",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:35",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:47",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:57",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:08",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:18",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:31",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:47",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:57",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:12",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:23",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:33",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:50",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:59",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:10",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:23",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:32",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:42",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:54",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:04",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:17",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:30",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:40",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:57",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:40:09",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:40:20",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:40:29",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:40:40","Celtics",NA,NA,"211.5","3.3","1.3","7","NBA"
"08:40:52","Celtics",NA,NA,"211.5","3.3","1.3","7","NBA"
"08:41:00","Celtics",NA,NA,"211.5","3.3","1.3","7","NBA"
"08:41:09","Celtics",NA,NA,"211.5","3.3","1.3","7","NBA"
"08:41:21","11:42 1st",NA,NA,"211.5","3.3","1.3","7","NBA"
"08:41:29","11:42 1st",NA,NA,"211.5","3.3","1.3","7","NBA"
"08:41:43","11:42 1st",NA,NA,"211.5","3.3","1.3","7","NBA"
"08:41:51","11:09 1st",NA,NA,"211.5","3.3","1.3","7","NBA"
"08:41:58","11:09 1st",NA,NA,"211.5","3.3","1.3","7","NBA"
"08:42:07","11:09 1st",NA,NA,"211.5","3.3","1.3","7","NBA"
"08:42:16","10:46 1st",NA,NA,"211.5","3.3","1.3","7","NBA"
"08:42:24","10:46 1st",NA,NA,"211.5","3.6","1.26","7","NBA"
"08:42:33","10:46 1st",NA,NA,"211.5","3.6","1.26","7","NBA"
"08:42:45","10:17 1st",NA,NA,"211.5","3.6","1.26","7","NBA"
"08:42:54","10:17 1st",NA,NA,"211.5","3.6","1.26","7","NBA"
"08:43:03","10:04 1st",NA,NA,"211.5","3.6","1.26","7","NBA"
"08:43:12","10:04 1st",NA,NA,"211.5","3.6","1.26","7","NBA"
"08:43:19","9:39 1st",NA,NA,"211.5","3.6","1.26","7","NBA"
"08:43:30","9:39 1st",NA,NA,"212.5","3.3","1.3","7","NBA"
"08:43:39","9:39 1st",NA,NA,"212.5","3.3","1.3","7","NBA"
"08:43:52","9:06 1st",NA,NA,"212.5","3.3","1.3","7","NBA"
"08:44:02","10:04 1st","Q1","13","211.5","3.2","1.32","6","NBA"
"08:44:11","8:50 1st","Q1","13","211.5","3.2","1.32","6","NBA"
"08:44:24","9:06 1st","Q1","13","211.5","3.2","1.32","6","NBA"
"08:44:33","8:40 1st","Q1","13","211.5","3.2","1.32","6","NBA"
"08:44:46","8:50 1st","Q1","13","211.5","3.2","1.32","6","NBA"
"08:44:57","8:40 1st","Q1","13","211.5","3.2","1.32","6","NBA"
"08:45:09","8:40 1st","Q1","13","211.5","3.2","1.32","6","NBA"
"08:45:22","8:40 1st","Q1","13","211.5","3.2","1.32","6","NBA"
"08:45:34","8:40 1st","Q1","16","211.5","3.2","1.32","6","NBA"
"08:45:46","8:40 1st","Q1","16","213.5","3.3","1.3","7","NBA"
"08:45:58","8:40 1st","Q1","16","213.5","3.3","1.3","7","NBA"
"08:46:11","8:40 1st","Q1","16","213.5","3.3","1.3","7","NBA"
"08:52:04","6:22 1st","Q1","28","213.5","3","1.36","6","NBA"
"08:52:15","5:59 1st","Q1","28","213.5","3","1.36","6","NBA"
"08:52:24","5:59 1st","Q1","33","213.5","3","1.36","6","NBA"
"08:52:40","5:32 1st","Q1","33","216.5","4","1.22","8","NBA"
"08:52:52","5:32 1st","Q1","33","216.5","4","1.22","8","NBA"
"08:53:06","4:53 1st","Q1","35","216.5","4","1.22","8","NBA"
"08:53:16","5:11 1st","Q1","35","214.5","3.6","1.26","7","NBA"
"08:53:29","4:53 1st","Q1","35","214.5","3.6","1.26","7","NBA"
"08:53:41","4:53 1st","Q1","35","214.5","3.6","1.26","7","NBA"
"08:53:51","4:37 1st","Q1","35","215.5","3.3","1.3","6","NBA"
"08:54:03","4:37 1st","Q1","37","215.5","3.3","1.3","6","NBA"
"08:54:13","4:13 1st","Q1","37","215.5","3.3","1.3","6","NBA"
"08:54:24","4:13 1st","Q1","37","214.5","3.5","1.28","7","NBA"
"08:54:35","4:13 1st","Q1","39","214.5","3.5","1.28","7","NBA"
"08:54:45","4:02 1st","Q1","39","214.5","3.5","1.28","7","NBA"
"08:54:56","4:02 1st","Q1","39","211.5","3.5","1.28","7","NBA"
"08:55:08","4:02 1st","Q1","39","211.5","3.5","1.28","7","NBA"
"08:55:24","3:45 1st","Q1","39","211.5","3.5","1.28","7","NBA"
"08:55:35","3:45 1st","Q1","39","211.5","3.5","1.28","7","NBA"
"08:55:45","3:39 1st","Q1","39","211.5","3.5","1.28","7","NBA"
"08:55:53","3:39 1st","Q1","39","211.5","3.5","1.28","7","NBA"
"08:56:04","3:39 1st","Q1","43","215.5","3.5","1.28","7","NBA"
"08:56:18","3:19 1st","Q1","43","215.5","3.5","1.28","7","NBA"
"08:56:29","3:19 1st","Q1","43","215.5","3.5","1.28","7","NBA"
"08:56:40","3:04 1st","Q1","43","214.5","3.3","1.3","7","NBA"
"08:56:54","4:53 1st","Q1","43","214.5","3.3","1.3","7","NBA"
"08:57:03","3:04 1st","Q1","49","217.5","4","1.22","8","NBA"
"08:57:17","2:33 1st","Q1","49","217.5","4","1.22","8","NBA"
"08:57:29","2:33 1st","Q1","49","217.5","4","1.22","8","NBA"
"08:57:46","2:17 1st","Q1","53","219.5","3.6","1.26","7","NBA"
"08:57:57","2:17 1st","Q1","53","219.5","3.6","1.26","7","NBA"
"08:58:06","2:49 1st","Q1","53","219.5","3.6","1.26","7","NBA"
