"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:51:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:11:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
