"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"10:11:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:11:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:11:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:11:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:12:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:12:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:13:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:13:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:13:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:14:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:14:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:14:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:15:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:15:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:15:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:16:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:16:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:16:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:17:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:17:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:17:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:18:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:18:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:18:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:19:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:19:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:19:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:19:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:20:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:20:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:20:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:21:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:21:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:21:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:22:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:22:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:22:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:23:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:23:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:23:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:24:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:24:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:24:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:25:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:25:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:25:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:26:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:26:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:26:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:27:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:27:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:28:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:28:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:28:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:28:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:29:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:29:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:30:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:30:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:30:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:31:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:31:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:31:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:31:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:32:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:32:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:33:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:33:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:33:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:33:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:34:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:34:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:34:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:35:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:35:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:36:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:36:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:36:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:36:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:37:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:37:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:38:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:38:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:38:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:39:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:39:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:39:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:40:05 AM",NA,NA,NA,"219.5","1.36","3","7","NBA"
"10:40:27 AM",NA,NA,NA,"219.5","1.32","3.25","7","NBA"
"10:40:48 AM",NA,NA,NA,"219.5","1.32","3.25","7","NBA"
"10:41:03 AM","12:00 1st",NA,NA,"220.5","1.3","3.3","7","NBA"
"10:41:20 AM","11:43 1st",NA,NA,"220.5","1.3","3.3","7","NBA"
"10:41:45 AM","11:43 1st","Q1","2","220.5","1.22","4","8","NBA"
"10:41:59 AM","11:10 1st","Q1","2","220.5","1.22","4","8","NBA"
"10:42:23 AM","10:52 1st","Q1","2","222.5","1.2","4.1","8","NBA"
"10:42:38 AM","10:24 1st","Q1","2","223.5","1.26","3.6","7","NBA"
"10:43:06 AM","10:24 1st","Q1","12","223.5","1.26","3.6","7","NBA"
"10:43:27 AM","9:51 1st","Q1","12","223.5","1.3","3.3","7","NBA"
"10:43:43 AM","9:51 1st","Q1","12","223.5","1.3","3.3","7","NBA"
"10:44:03 AM","9:51 1st","Q1","12","224.5","1.26","3.6","7","NBA"
"10:44:20 AM","9:51 1st","Q1","12","223.5","1.26","3.6","7","NBA"
"10:44:40 AM","9:55 1st","Q1","15","222.5","1.22","4","8","NBA"
"10:45:04 AM","9:03 1st","Q1","15","222.5","1.22","4","8","NBA"
"10:45:37 AM","8:36 1st","Q1","15","223.5","1.2","4.1","8","NBA"
"10:45:42 AM","8:36 1st","Q1","15","225.5","1.22","4","8","NBA"
"10:46:07 AM","9:03 1st","Q1","19","225.5","1.22","4","8","NBA"
"10:46:24 AM","8:36 1st","Q1","19","226.5","1.3","3.3","7","NBA"
"10:46:43 AM","7:58 1st","Q1","19","226.5","1.3","3.3","7","NBA"
"10:47:03 AM","7:44 1st","Q1","27","226.5","1.36","3","6","NBA"
"10:47:19 AM","7:44 1st","Q1","27","226.5","1.36","3","6","NBA"
"10:47:40 AM","7:18 1st","Q1","27","226.5","1.36","3","6","NBA"
"10:48:08 AM","7:16 1st","Q1","27","223.5","1.36","3","6","NBA"
"10:48:26 AM","6:57 1st","Q1","27","223.5","1.36","3","6","NBA"
"10:48:44 AM","6:57 1st","Q1","27","223.5","1.36","3","6","NBA"
"10:49:01 AM","6:57 1st","Q1","27","223.5","1.36","3","6","NBA"
"10:49:26 AM","6:46 1st","Q1","27","224.5","1.36","3","6","NBA"
"10:49:45 AM","6:46 1st","Q1","27","224.5","1.36","3","6","NBA"
"10:50:02 AM","6:46 1st","Q1","28","224.5","1.36","3","6","NBA"
"10:50:27 AM","6:46 1st","Q1","28","224.5","1.36","3","6","NBA"
"10:50:43 AM","6:46 1st","Q1","28","224.5","1.36","3","6","NBA"
"10:51:00 AM","6:46 1st","Q1","28","224.5","1.36","3","6","NBA"
"10:51:24 AM","6:46 1st","Q1","28","224.5","1.36","3","6","NBA"
"10:51:44 AM","6:46 1st","Q1","28","224.5","1.36","3","6","NBA"
"10:52:00 AM","6:25 1st","Q1","28","224.5","1.36","3","6","NBA"
"10:52:21 AM","6:25 1st","Q1","28","224.5","1.36","3","6","NBA"
"10:52:44 AM","6:11 1st","Q1","30","225.5","1.26","3.6","7","NBA"
"10:52:57 AM","6:11 1st","Q1","30","225.5","1.26","3.6","7","NBA"
"10:53:22 AM","5:49 1st","Q1","30","222.5","1.28","3.5","7","NBA"
"10:53:42 AM","6:44 1st","Q1","30","222.5","1.28","3.5","7","NBA"
"10:54:00 AM","5:24 1st","Q1","30","221.5","1.28","3.5","7","NBA"
"10:54:27 AM","5:24 1st","Q1","31","222.5","1.3","3.3","7","NBA"
"10:54:41 AM","4:57 1st","Q1","31","222.5","1.3","3.3","7","NBA"
"10:55:01 AM","5:24 1st","Q1","31","221.5","1.3","3.3","7","NBA"
"10:55:25 AM","4:48 1st","Q1","31","221.5","1.3","3.3","7","NBA"
"10:55:43 AM","4:48 1st","Q1","33","221.5","1.3","3.3","7","NBA"
"10:56:00 AM","4:48 1st","Q1","33","221.5","1.3","3.3","7","NBA"
"10:56:20 AM","4:48 1st","Q1","33","221.5","1.3","3.3","7","NBA"
"10:56:39 AM","4:48 1st","Q1","33","221.5","1.3","3.3","7","NBA"
"10:57:02 AM","4:48 1st","Q1","33","221.5","1.3","3.3","7","NBA"
"10:57:28 AM","4:48 1st","Q1","33","221.5","1.36","3","6","NBA"
"10:57:40 AM","4:25 1st","Q1","33","221.5","1.36","3","6","NBA"
"10:58:00 AM","4:25 1st","Q1","33","218.5","1.36","3","6","NBA"
"10:58:22 AM","4:48 1st","Q1","35","218.5","1.36","3","6","NBA"
"10:58:40 AM","3:54 1st","Q1","35","217.5","1.36","3","6","NBA"
"10:59:04 AM","3:54 1st","Q1","35","217.5","1.36","3","6","NBA"
"10:59:19 AM","3:54 1st","Q1","35","219.5","1.36","3","6","NBA"
"10:59:42 AM","3:23 1st","Q1","39","219.5","1.36","3","6","NBA"
"11:00:04 AM","3:51 1st","Q1","39","218.5","1.36","3","6","NBA"
"11:00:24 AM","3:08 1st","Q1","39","218.5","1.36","3","6","NBA"
"11:00:42 AM","2:48 1st","Q1","39","217.5","1.32","3.2","6","NBA"
"11:00:59 AM","2:36 1st","Q1","40","217.5","1.32","3.2","6","NBA"
"11:01:25 AM","2:36 1st","Q1","40","217.5","1.32","3.2","6","NBA"
"11:01:42 AM","2:36 1st","Q1","40","217.5","1.32","3.2","6","NBA"
"11:01:57 AM","2:36 1st","Q1","40","217.5","1.36","3","6","NBA"
"11:02:22 AM","2:12 1st","Q1","40","217.5","1.36","3","6","NBA"
"11:02:41 AM","2:12 1st","Q1","41","218.5","1.32","3.25","7","NBA"
