"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:40:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:08 AM",NA,NA,NA,"206.5","1.12","5.7","11","NBA"
"08:09:29 AM",NA,NA,NA,"206.5","1.12","5.7","11","NBA"
"08:09:46 AM",NA,NA,NA,"206.5","1.12","5.7","11","NBA"
"08:10:10 AM",NA,NA,NA,"206.5","1.12","5.7","11","NBA"
"08:10:29 AM","Pacers",NA,NA,"206.5","1.11","6","11","NBA"
"08:10:48 AM","Pacers",NA,NA,"206.5","1.11","6","11","NBA"
"08:11:09 AM","12:00 1st",NA,NA,"206.5","1.11","6","11","NBA"
"08:11:33 AM","12:00 1st",NA,NA,"205.5","1.11","6","11","NBA"
"08:11:49 AM","11:14 1st",NA,NA,"205.5","1.11","6","11","NBA"
"08:12:15 AM","11:14 1st",NA,NA,"206.5","1.09","6.5","12","NBA"
"08:12:29 AM","10:38 1st",NA,NA,"206.5","1.09","6.5","12","NBA"
"08:12:50 AM","10:38 1st",NA,NA,"206.5","1.09","6.5","12","NBA"
"08:13:09 AM","10:18 1st",NA,NA,"206.5","1.09","6.5","12","NBA"
"08:13:30 AM","9:55 1st","Q1","2","206.5","1.09","6.5","12","NBA"
"08:13:53 AM","9:55 1st","Q1","2","206.5","1.09","6.5","12","NBA"
"08:14:10 AM","9:55 1st","Q1","2","210.5","1.09","6.75","12","NBA"
"08:14:29 AM","9:18 1st","Q1","2","210.5","1.09","6.75","12","NBA"
"08:14:54 AM","9:18 1st","Q1","6","212.5","1.07","7.5","13","NBA"
"08:15:09 AM","8:55 1st","Q1","6","212.5","1.07","7.5","13","NBA"
"08:15:29 AM","8:26 1st","Q1","6","212.5","1.07","7.5","13","NBA"
"08:15:51 AM","8:26 1st","Q1","8","212.5","1.07","7.5","13","NBA"
"08:16:15 AM","8:10 1st","Q1","8","199.5","1.08","7","12","NBA"
"08:16:30 AM","8:10 1st","Q1","8","199.5","1.08","7","12","NBA"
"08:16:53 AM","8:10 1st","Q1","10","201.5","1.09","6.75","12","NBA"
"08:17:09 AM","8:10 1st","Q1","10","200.5","1.09","6.5","12","NBA"
"08:17:30 AM","8:10 1st","Q1","10","200.5","1.09","6.5","12","NBA"
"08:17:51 AM","8:10 1st","Q1","10","200.5","1.09","6.5","12","NBA"
"08:18:09 AM","8:10 1st","Q1","10","200.5","1.09","6.5","12","NBA"
"08:18:34 AM","8:10 1st","Q1","10","200.5","1.09","6.5","12","NBA"
"08:18:50 AM","8:10 1st","Q1","10","200.5","1.09","6.5","12","NBA"
"08:19:09 AM","7:37 1st","Q1","10","202.5","1.08","7","12","NBA"
"08:19:29 AM","7:15 1st","Q1","10","202.5","1.08","7","12","NBA"
"08:19:48 AM","7:00 1st","Q1","14","201.5","1.06","8","13","NBA"
"08:20:14 AM","6:45 1st","Q1","14","201.5","1.06","8","13","NBA"
"08:20:28 AM","6:45 1st","Q1","14","199.5","1.07","7.5","13","NBA"
"08:20:48 AM","6:45 1st","Q1","16","199.5","1.07","7.5","13","NBA"
"08:21:13 AM","6:45 1st","Q1","16","199.5","1.07","7.5","13","NBA"
"08:21:32 AM","6:28 1st","Q1","16","200.5","1.06","8","13","NBA"
"08:21:49 AM","5:56 1st","Q1","16","200.5","1.06","8","13","NBA"
"08:22:09 AM","5:56 1st","Q1","16","200.5","1.06","8","13","NBA"
"08:22:32 AM","5:37 1st","Q1","22","200.5","1.06","8","13","NBA"
"08:22:50 AM","5:37 1st","Q1","22","200.5","1.08","7","12","NBA"
"08:23:10 AM","5:37 1st","Q1","22","200.5","1.08","7","12","NBA"
"08:23:28 AM","5:37 1st","Q1","23","200.5","1.07","7.5","12","NBA"
"08:23:50 AM","5:37 1st","Q1","23","200.5","1.07","7.5","12","NBA"
"08:24:12 AM","5:15 1st","Q1","23","205.5","1.07","7.5","13","NBA"
"08:24:31 AM","5:15 1st","Q1","23","205.5","1.07","7.5","13","NBA"
"08:24:49 AM","5:15 1st","Q1","24","202.5","1.07","7.5","13","NBA"
"08:25:13 AM","5:15 1st","Q1","24","202.5","1.07","7.5","13","NBA"
"08:25:28 AM","4:54 1st","Q1","24","201.5","1.05","9","14","NBA"
"08:25:49 AM","4:11 1st","Q1","26","201.5","1.05","9","14","NBA"
