"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:11:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
