"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:48:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:48:57 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:49:21 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:49:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:50:00 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:50:21 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:50:44 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:51:03 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:51:22 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:51:46 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:52:03 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:52:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:52:42 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:53:04 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:53:20 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:53:49 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:54:10 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:54:29 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:54:42 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:55:00 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:55:27 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:55:43 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:56:00 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:56:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:56:38 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:56:57 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:57:20 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:57:45 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:57:59 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:58:26 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:58:38 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:58:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:59:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:59:40 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:59:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"10:00:21 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"10:01:01 AM","1st 20:00",NA,NA,"142.5","6","1.11","12","NCAA"
"10:01:18 AM","1st 20:00",NA,NA,"142.5","6","1.11","12","NCAA"
"10:01:43 AM","1st 20:00","First Half","0","142.5","6","1.11","12","NCAA"
"10:02:02 AM","1st 20:00","First Half","0","142.5","6","1.11","12","NCAA"
"10:02:22 AM","1st 20:00","First Half","0","142.5","6","1.11","12","NCAA"
"10:02:40 AM","1st 20:00","First Half","0","142.5","6","1.11","12","NCAA"
"10:03:00 AM","1st 20:00","First Half","0","142.5","6","1.11","12","NCAA"
"10:03:18 AM","1st 20:00","First Half","0","142.5","6","1.11","12","NCAA"
"10:03:42 AM","1st 20:00","First Half","0","142.5","6","1.11","12","NCAA"
"10:04:00 AM","1st 20:00","First Half","0","142.5","6","1.11","12","NCAA"
"10:04:23 AM","1st 20:00","First Half","0","142.5","6","1.11","12","NCAA"
"10:04:43 AM","1st 20:00","First Half","0","142.5","6","1.11","12","NCAA"
"10:04:59 AM","1st 20:00","First Half","0","142.5","6","1.11","12","NCAA"
"10:05:23 AM","1st 20:00","First Half","0","142.5","6","1.11","12","NCAA"
"10:05:42 AM",NA,"First Half","0","142.5","6","1.11","12","NCAA"
"10:06:06 AM","1st 20:00","First Half","0","142.5","6","1.11","12","NCAA"
"10:06:20 AM","1st 20:00","First Half","0","139.5","5","1.15","10.5","NCAA"
"10:06:38 AM","1st 20:00","First Half","0","139.5","5","1.15","10.5","NCAA"
"10:06:59 AM","1st 20:00","First Half","0","140.5","4.6","1.17","10.5","NCAA"
"10:07:20 AM","1st 20:00","First Half","0","140.5","4.6","1.17","10.5","NCAA"
"10:07:38 AM","1st 20:00","First Half","0","142.5","4.65","1.17","10.5","NCAA"
"10:07:58 AM","1st 19:22","First Half","0","142.5","4.65","1.17","10.5","NCAA"
"10:08:20 AM","1st 19:22","First Half","5","141.5","5.7","1.12","11","NCAA"
"10:08:38 AM","1st 18:20","First Half","5","141.5","5.7","1.12","11","NCAA"
"10:09:00 AM","1st 18:39","First Half","5","144.5","6","1.11","12","NCAA"
"10:09:21 AM","1st 18:20","First Half","5","144.5","6","1.11","12","NCAA"
